178chi	U-22日本代表
178sagan	サガン鳥栖
178sanfrecce	サンフレッチェ広島
178spulse	清水エスパルス
178y	ユース日本代表
albirex	アルビレックス新潟
antlers	鹿島アントラーズ
ardija	RB大宮アルディージャ
avispa	アビスパ福岡
azulclaro	アスルクラロ沼津
bellmare	湘南ベルマーレ
blaublitz	ブラウブリッツ秋田
briobecca	ブリオベッカ浦安・市川
cerezo	セレッソ大阪
consadole	北海道コンサドーレ札幌
criacao	クリアソン新宿
ehimefc	愛媛FC
fagiano	ファジアーノ岡山
fcgifu	FC岐阜
fcmaruyasu	FCマルヤス岡崎
fcosaka	ＦＣ大阪
fcryukyu	FC琉球
fctiamo	FCティアモ枚方
fctokyo	FC東京
fmarinos	横浜Ｆ・マリノス
frontale	川崎フロンターレ
fufc	福島ユナイテッド
fujiedamyfc	藤枝MYFC
gainare	ガイナーレ鳥取
gamba	ガンバ大阪
giravanz	ギラヴァンツ北九州
grampus	名古屋グランパス
grulla	いわてグルージャ盛岡
hollyhock	水戸ホーリーホック
hondafc	Honda FC
imabari	FC今治
iwaki	いわきFC
j1	J1総合
j2	J2総合
j3	J3総合
japan	日本代表
jef	ジェフ千葉
jfl	JFL総合
jleasefc	ジェイリースFC
jubilo	ジュビロ磐田
kagoshimaunited	鹿児島ユナイテッド
kamatamare	カマタマーレ讃岐
kataller	カターレ富山
kochiusc	高知ユナイテッドSC
minebeamitsumifc	ミネベアミツミFC
montedio	モンテディオ山形
nara	奈良クラブ
nd	女子日本代表
okinawasv	沖縄SV
parceiro	AC長野パルセイロ
reds	浦和レッズ
reilacshiga	レイラック滋賀
reinmeeraomori	ラインメール青森
renofa	レノファ山口FC
reysol	柏レイソル
rosso	ロアッソ熊本
sanga	京都サンガFC
scsagamihara	SC相模原
tegevajaro	テゲバジャーロ宮崎
thespa	ザスパ群馬
tmufc	横河武蔵野FC
tochigicity	栃木シティ
tochigisc	栃木SC
trinita	大分トリニータ
vanraure	ヴァンラーレ八戸
veertien	ヴィアティン三重
vegalta	ベガルタ仙台
ventforet	ヴァンフォーレ甲府
verdy	東京ヴェルディ
verspah	ヴェルスパ大分
vissel	ヴィッセル神戸
vonds	VONDS市原FC
vortis	徳島ヴォルティス
vvaren	V・ファーレン長崎
yamaga	松本山雅FC
yokohamafc	横浜FC
yscc	Y.S.C.C.横浜
zelvia	FC町田ゼルビア
zweigen	ツエーゲン金沢
